movie_id,movie_title
1,RRR
2,The Kashmiri Files
3,KGF Chapter 2
4,Vikram
5,Kantara
6,Rocketry: The Nambi Effect
7,Major
8,Sita Ramam
9,Ponniyin Selvan : Part One
10,777 Charlie
11,Lal Singh Chadda
12,Gangubai Kathiawadi
13,Beast
14,Karthikeya 2
15,Radhe Shyam
16,Hridayam
17,DJ Tillu
18,Love Mocktail 2
19,Brahmastra Part One : Shiva
20,FIR
